created setup with 216 bodies
plot initial setup plus every 0.00999999977648258 time units
plot next snapshot,	 time step=1390,	 t=1.39000006602146,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1400,	 t=1.40000006649643,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1410,	 t=1.41000006697141,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1420,	 t=1.42000006744638,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1430,	 t=1.43000006792136,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1440,	 t=1.44000006839633,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1450,	 t=1.4500000688713,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1460,	 t=1.46000006934628,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1470,	 t=1.47000006982125,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1480,	 t=1.48000007029623,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1490,	 t=1.4900000707712,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1500,	 t=1.50000007124618,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1510,	 t=1.51000007172115,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1520,	 t=1.52000007219613,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1530,	 t=1.5300000726711,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1540,	 t=1.54000007314608,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1550,	 t=1.55000007362105,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1560,	 t=1.56000007409602,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1570,	 t=1.570000074571,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1580,	 t=1.58000007504597,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=1590,	 t=1.59000007552095,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
